qS1,qS2B,qS2,x,y,z,t,set_label
58.601738,1315.846,4384.7544,193.26627,399.03522,146.443119903244,2021-03-11 23:00:08.833911456+00:00,run0_set5
91.112885,1809.0566,6450.623,188.04643,440.0536,455.474841035098,2021-03-11 23:58:46.100358652+00:00,run0_set5
46.99993,902.0556,3397.7766,210.12607,-315.7309,-405.9656264594237,2021-03-12 01:44:24.585750212+00:00,run0_set5
3.522534,443.32623,1690.2162,-85.542534,-373.003,-144.59557053730748,2021-03-12 03:34:53.755435164+00:00,run0_set5
3.7452302,405.80322,1560.6703,-499.75653,74.34826,-106.64560107293823,2021-03-12 07:39:12.963536380+00:00,run0_set5
47.20051,1036.1934,3983.7083,128.07983,-33.199043,-385.7248859404376,2021-03-12 13:01:13.640669868+00:00,run0_set5
122.99424,2214.2583,7591.543,-171.75189,305.5413,189.00770575626586,2021-03-12 15:10:24.843765056+00:00,run0_set5
33.260082,798.0188,2646.0623,-424.1958,256.2556,107.01738136009294,2021-03-12 15:46:31.959343208+00:00,run0_set5
108.0784,1861.6466,6562.32,66.618034,291.56833,429.7794309595373,2021-03-12 17:07:57.601112004+00:00,run0_set5
33.04558,858.6022,3181.475,280.25195,-193.45518,-399.6084673508245,2021-03-12 17:30:36.800925252+00:00,run0_set5
42.80373,1026.1523,3587.5276,-237.19867,87.24955,46.97060795842367,2021-03-12 18:29:52.626157628+00:00,run0_set5
87.51386,1638.0482,5253.2197,45.74948,-47.729218,25.106521452777542,2021-03-12 21:24:27.470534996+00:00,run0_set5
98.0648,1446.4917,4931.265,-84.000244,225.42091,-351.98653438551537,2021-03-12 23:58:21.535032812+00:00,run0_set5
76.03488,1271.8004,4244.8794,28.44249,-15.434133,-323.6744722125759,2021-03-13 01:02:10.718972480+00:00,run0_set5
43.564175,1227.7024,4161.454,203.96295,-214.44421,-525.4064292471469,2021-03-13 05:24:02.363830288+00:00,run0_set5
44.27296,944.1011,3327.0774,459.99808,29.12235,-407.19165000179623,2021-03-13 08:41:30.007394144+00:00,run0_set5
79.37791,1261.6287,4505.4883,272.11597,-31.387806,-461.1537139709492,2021-03-13 09:06:30.515355940+00:00,run0_set5
48.427143,971.46906,3827.6797,208.75293,18.257273,268.8297848136129,2021-03-13 09:58:37.991715340+00:00,run0_set5
83.42375,1292.1223,4600.595,-176.67879,290.85593,-434.92475661305957,2021-03-13 12:13:40.523498348+00:00,run0_set5
11.025166,495.8702,2005.8326,402.60342,-197.44067,210.4063573986038,2021-03-13 13:32:06.829352752+00:00,run0_set5
65.19,800.18054,2675.116,348.3013,364.13318,-65.15946185441089,2021-03-13 15:55:59.863242500+00:00,run0_set5
63.938175,1260.1364,4889.6143,-496.14157,77.96812,-401.36803817552607,2021-03-13 17:40:36.386816812+00:00,run0_set5
95.82091,1413.7714,4389.8823,341.78717,274.1075,-409.0420373851921,2021-03-13 22:10:15.009199664+00:00,run0_set5
83.03169,1605.711,5298.126,424.93103,-9.587591,-149.63588954483942,2021-03-13 22:29:48.054246964+00:00,run0_set5
18.187689,711.2813,2220.8142,265.3084,349.43784,-534.5505215006767,2021-03-14 00:57:06.318195092+00:00,run0_set5
16.379625,438.98657,1820.1404,342.89627,63.09506,322.8088768875211,2021-03-14 01:31:58.597015716+00:00,run0_set5
66.508286,1386.8442,4732.994,276.2509,256.89978,359.20928881916916,2021-03-14 06:25:23.639609972+00:00,run0_set5
68.52425,1374.4459,4526.163,152.2696,-129.443,198.32207905734714,2021-03-14 08:49:39.896183656+00:00,run0_set5
21.815868,543.681,1980.3392,-266.73206,-328.6232,-374.39552024332716,2021-03-14 09:05:35.938050340+00:00,run0_set5
26.631664,1210.113,4165.7046,44.723278,404.64273,-39.378911255074286,2021-03-14 14:53:43.193365500+00:00,run0_set5
42.39351,1016.191,3682.2075,-138.67464,-215.09073,43.616071321653976,2021-03-14 17:29:12.333842840+00:00,run0_set5
6.8968325,372.1043,1466.1292,11.593666,-421.88803,-25.27964051778838,2021-03-14 19:33:35.179753168+00:00,run0_set5
43.99865,1263.4929,4250.844,288.07108,-118.152916,-551.0450789735237,2021-03-14 21:49:17.145293844+00:00,run0_set5
21.33047,689.9205,2515.045,-72.62848,480.70798,101.73299285106998,2021-03-14 23:36:40.773773264+00:00,run0_set5
89.01608,1436.8655,4997.768,405.03857,87.35425,463.0239674765594,2021-03-14 23:52:22.618595212+00:00,run0_set5
8.776815,469.71777,1785.618,-12.618752,-487.41724,402.76718078290963,2021-03-15 03:05:08.178598924+00:00,run0_set5
26.410374,579.19147,2205.2852,12.475544,-204.33904,-541.6115089391562,2021-03-15 03:16:36.551230636+00:00,run0_set5
61.603863,1036.1068,3660.6409,-291.93625,247.86461,-458.36678082601884,2021-03-15 04:29:58.535414860+00:00,run0_set5
81.094894,1470.4197,5296.382,127.57463,-119.206924,-82.77219820618132,2021-03-15 07:22:10.010868880+00:00,run0_set5
20.903975,827.7508,2650.279,214.84131,-23.26051,-293.2566010849131,2021-03-15 08:43:13.873692788+00:00,run0_set5
46.99992,975.2367,3543.7551,250.63242,-355.47147,-229.62824964973845,2021-03-15 09:25:23.266540780+00:00,run0_set5
34.943905,822.38666,2894.022,-139.44637,174.83742,134.91509298398984,2021-03-15 11:36:14.036398876+00:00,run0_set5
72.186714,1464.0591,5441.3936,49.486996,88.06726,78.61450262845926,2021-03-15 14:32:47.890007328+00:00,run0_set5
2.9268315,128.56023,432.2475,-299.90903,388.41516,-176.45515453424196,2021-03-15 18:16:26.171235268+00:00,run0_set5
32.938484,962.8998,3341.5,394.8492,222.17148,404.6516243758158,2021-03-15 19:30:49.586666740+00:00,run0_set5
94.20217,1836.0344,6489.962,-288.25778,-66.165146,-165.26201367517274,2021-03-15 22:34:23.475180164+00:00,run0_set5
118.36509,2053.2673,7184.3286,-222.18457,315.076,-173.15170221173764,2021-03-16 04:50:47.921508912+00:00,run0_set5
36.046337,944.9588,3294.3677,238.4586,-237.62483,361.36618208815815,2021-03-16 07:36:27.315033196+00:00,run0_set5
63.400574,1236.9406,4127.028,-389.50296,272.47272,-107.78648409153493,2021-03-16 17:45:09.850854428+00:00,run0_set5
78.592636,1108.8218,3759.4946,132.48302,256.86688,89.41032104324086,2021-03-16 19:30:56.009414764+00:00,run0_set5
95.09757,1409.7167,4988.315,358.28696,181.40959,-402.32728807673425,2021-03-16 23:02:00.261207296+00:00,run0_set5
11.687532,453.75565,1588.5026,257.6035,-200.96582,63.34029266306629,2021-03-16 23:27:13.922543316+00:00,run0_set5
3.179801,353.5589,1356.4282,398.6774,11.456814,-225.95585505753877,2021-03-17 00:21:32.405304300+00:00,run0_set5
16.114656,625.2768,2255.2634,104.252174,186.58414,490.01351351351354,2021-03-17 01:28:39.647636264+00:00,run0_set5
39.694176,1002.75757,3699.1763,-425.092,109.55583,-37.92017028104749,2021-03-17 05:37:17.900892100+00:00,run0_set5
33.844475,669.5529,2271.2039,180.97626,364.5642,-15.034397490090896,2021-03-17 06:00:02.296851072+00:00,run0_set5
20.296862,939.57605,3812.4668,344.76285,-353.56567,-12.656138859284624,2021-03-17 07:16:24.893865104+00:00,run0_set5
26.375805,718.9421,2574.5093,-285.7921,143.73656,356.97860709624115,2021-03-17 08:30:44.002765428+00:00,run0_set5
20.902752,662.1971,2242.4343,-177.82735,-64.29521,-293.00685554850384,2021-03-17 10:31:56.713915620+00:00,run0_set5
76.319145,873.8282,3343.4783,429.12482,-66.14052,-360.6878959154104,2021-03-17 12:00:43.809865476+00:00,run0_set5
40.71316,868.2998,3291.4153,355.085,21.024172,-74.11056892071508,2021-03-17 13:17:15.300910656+00:00,run0_set5
98.894844,1876.286,6450.14,323.38858,183.11873,465.6917038882037,2021-03-17 13:55:20.486163540+00:00,run0_set5
8.253842,516.7754,1729.0664,-227.64969,-381.82117,99.99612616604202,2021-03-17 14:06:38.963152216+00:00,run0_set5
122.6048,2312.7725,8245.048,-275.99802,-279.64777,445.58718820725915,2021-03-17 16:33:23.166598040+00:00,run0_set5
49.88552,659.07764,2456.8923,-426.07178,48.062588,-419.2134919589505,2021-03-17 21:20:21.687190868+00:00,run0_set5
14.024962,496.12125,1814.1539,-232.45972,301.16095,74.06799865882726,2021-03-17 21:25:43.609553188+00:00,run0_set5
104.34163,1311.6033,4787.1274,-308.99887,173.07837,346.7787723478906,2021-03-18 01:43:38.767087196+00:00,run0_set5
25.78228,564.3336,2019.5166,111.8176,264.3926,-392.14448143313905,2021-03-18 07:09:08.825964284+00:00,run0_set5
44.17332,1240.7112,4495.7993,-116.67227,355.13953,194.0650528685531,2021-03-18 07:58:48.414537396+00:00,run0_set5
41.785122,965.0609,3404.9849,32.223667,-271.06723,-252.94540109449292,2021-03-18 08:03:10.523740420+00:00,run0_set5
4.7966394,672.04376,2352.8076,43.74343,36.808704,43.746620124776996,2021-03-18 08:52:28.885906200+00:00,run0_set5
35.4259,594.0836,2427.535,348.13736,-350.04785,-379.765049276126,2021-03-18 09:34:14.607596216+00:00,run0_set5
104.10138,1841.7981,6444.3174,92.16616,251.18518,353.646774599145,2021-03-18 09:58:00.515176444+00:00,run0_set5
31.244343,795.16797,2571.7378,40.857796,40.24243,-394.664640936905,2021-03-18 09:58:55.516319696+00:00,run0_set5
123.36137,2053.6577,7135.504,96.253136,-470.08923,267.5753810966483,2021-03-18 13:43:14.729729656+00:00,run0_set5
48.737335,943.67163,3479.599,-319.8382,-29.014494,415.35095019698474,2021-03-18 14:19:02.055221704+00:00,run0_set5
111.67543,1237.8943,4689.5493,362.73026,-152.07462,284.79079500413127,2021-03-18 15:12:07.165238136+00:00,run0_set5
110.82424,1671.2704,6486.954,280.31186,-401.15384,350.6611802320708,2021-03-18 16:02:01.781567356+00:00,run0_set5
17.451103,587.7456,2037.9302,-322.24707,60.786053,-139.64606808846952,2021-03-18 16:20:39.776381812+00:00,run0_set5
116.41359,1955.6506,6272.0312,12.961769,-341.98868,-527.8471242620556,2021-03-18 18:51:06.381375436+00:00,run0_set5
18.131632,629.59766,2281.5652,163.79451,344.85706,-421.14334383120377,2021-03-18 18:55:38.548339980+00:00,run0_set5
15.01078,491.61682,1816.9524,166.32808,318.98727,430.9884263971548,2021-03-18 19:21:18.040642020+00:00,run0_set5
48.81414,1023.1826,3926.501,405.21548,-135.63214,-193.10296494988575,2021-03-18 19:22:13.065412900+00:00,run0_set5
66.40849,1264.2908,4910.4414,-112.362915,356.20303,498.80569160210274,2021-03-18 22:29:27.301573744+00:00,run0_set5
8.058404,348.2968,1414.8792,-318.42926,-126.79233,105.47349986229034,2021-03-19 01:50:01.763110028+00:00,run0_set5
23.755787,544.24274,1945.4058,331.60568,368.1967,-300.85681184064003,2021-03-19 07:55:23.862800532+00:00,run0_set5
117.48802,2014.4315,6828.1416,-76.616486,414.00626,-451.5725670287036,2021-03-19 09:30:53.592616420+00:00,run0_set5
60.852707,1198.2566,4507.789,160.86336,393.06378,-211.2322204792298,2021-03-19 10:58:12.557707944+00:00,run0_set5
85.15845,1469.0292,5695.072,-449.1108,210.21162,-209.2739884323845,2021-03-19 11:20:51.087976580+00:00,run0_set5
58.519653,917.61066,3118.763,293.20737,-156.8255,-267.26603719359593,2021-03-19 18:12:19.719199916+00:00,run0_set5
14.211149,448.01254,1723.3918,447.3248,-122.67058,380.5795602869152,2021-03-19 23:29:18.607156400+00:00,run0_set5
63.231308,1196.0613,4325.1797,-182.02213,333.2138,172.05338945502882,2021-03-20 00:02:47.937717252+00:00,run0_set5
10.77512,583.5026,2171.2053,328.25876,-39.040894,-348.15521081560075,2021-03-20 02:49:23.991285472+00:00,run0_set5
22.702747,478.91006,1611.2115,-5.9856157,-86.5731,-271.9090337568406,2021-03-20 04:03:23.839661168+00:00,run0_set5
2.3429058,185.92726,751.29584,158.79587,-212.10999,114.401902788921,2021-03-20 04:34:28.750781696+00:00,run0_set5
36.65038,931.18823,3381.5452,-292.16492,-0.04684978,-382.3022368846472,2021-03-20 05:13:46.113380212+00:00,run0_set5
47.000587,671.0694,2835.6914,-286.98935,-379.23755,-370.4790561496367,2021-03-20 05:56:18.471819092+00:00,run0_set5
85.48193,1411.2421,5006.982,-36.31188,-230.13524,266.23016082098934,2021-03-20 07:25:25.756674924+00:00,run0_set5
95.67351,1585.5098,5336.9043,311.67786,256.96902,-403.8825216443737,2021-03-20 10:34:06.471200328+00:00,run0_set5
4.7784486,559.70294,2017.6086,-344.359,-242.16545,-68.31533726903683,2021-03-20 13:33:43.097090108+00:00,run0_set5
17.730755,375.80002,1384.2052,140.39786,-205.9242,-132.54534840556096,2021-03-20 13:45:46.969153904+00:00,run0_set5
39.431583,1184.9592,3863.2527,24.420881,299.76303,-391.28740016046174,2021-03-20 14:59:36.563411532+00:00,run0_set5
19.695377,445.01697,1689.7662,12.0527115,192.88844,-477.6880036882253,2021-03-20 18:42:31.175223952+00:00,run0_set5
22.040186,486.83444,1900.5195,82.238754,-23.100481,-480.59980960136045,2021-03-20 21:25:58.695462524+00:00,run0_set5
105.316505,1832.8613,6457.0947,171.64967,342.36288,216.32078578356828,2021-03-20 23:18:10.910317468+00:00,run0_set5
87.01176,1451.0681,4988.6797,-78.66945,-433.93484,136.30572153899578,2021-03-21 00:30:51.765278496+00:00,run0_set5
